gora_id;pot_id;izhodisce;izhodisce_visina_m;sirina;dolzina;cilj;cilj_visina_m;ime_poti;cas_hoje_min;dolzina_km;zahtevnost;oznacena;ferata;visinska_razlika_m;visinska_razlika_po_poti_m;zemljevid;oprema_poletje;oprema_zima;ogledi;stevilo_slik;stevilo_komentarjev
446;6476;Kokra (Roblek);906;46.31670;14.51340;Planina Dolga njiva (Krvavec);1688;;130;3.13;2;1;;782;782;Kamniške in Savinjske Alpe 1:50.000;čelada;čelada, cepin, dereze;2920;39;1
447;677;Kriška planina;1480;46.29290;14.53690;Košutna;1974;čez planino Košutna;125;3.65;2;1;;494;600;Kamniške in Savinjske Alpe 1:50.000;čelada;čelada, cepin, dereze;30205;27;3
447;4583;Planina Jezerca;1410;46.28550;14.53140;Košutna;1974;čez planino Košutna;140;4.65;2;1;;564;650;Kamniške in Savinjske Alpe 1:50.000;čelada;čelada, cepin, dereze;14652;53;6
447;1094;Markova raven;980;46.29690;14.56180;Košutna;1974;po označeni poti;170;4.81;2;1;;994;1000;Kamniške in Savinjske Alpe 1:50.000;čelada;čelada, cepin, dereze;14361;36;3
448;699;Koča pri Savici;653;46.28960;13.80220;Vrh Planje;1971;čez sedlo Planja;290;10.89;2;0;;1318;1465;TNP 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;5305;50;0
448;698;Koča pri Savici;653;46.28960;13.80220;Vrh Planje;1971;čez Kser;305;11.15;2;1;;1318;1490;TNP 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;4795;64;0
448;2806;Planina Polog;457;46.23800;13.72320;Vrh Planje;1971;čez planino Dobrenjščico;330;10.12;2;1;;1514;1514;Julijske Alpe - zahodni del 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;3377;93;6
449;701;Koča pri Savici;653;46.28960;13.80220;Planina Govnjač;1480;;180;8.05;1;1;;827;930;TNP 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;8455;32;0
450;1528;Skalnica;320;45.98720;13.66190;Sveta Gora;681;peš pot;55;;1;1;;361;361;Goriška 1:50.000;Priporočena oprema (zima):;Ogledov: 34.881;34881;7;2
450;4335;Skalnica;320;45.98720;13.66190;Sveta Gora;681;pot po jarkih;60;;2;1;;361;370;Goriška - izletniška karta 1:50.000;čelada, svetilka;čelada, dereze, svetilka;19582;43;2
450;702;Skalnica;320;45.98720;13.66190;Sveta Gora;681;po cesti;60;;1;1;;361;361;Goriška 1:50.000;Priporočena oprema (zima):;Ogledov: 14.421;14421;6;4
450;1527;Pod Skalnico;300;45.98970;13.65510;Sveta Gora;681;;80;;1;0;;381;381;Goriška 1:50.000;Priporočena oprema (zima):;Ogledov: 10.554;10554;10;1
450;4394;Grgar;286;45.99900;13.67410;Sveta Gora;681;pot Po sredi;75;;1;1;;395;395;Goriška - izletniška karta 1:50.000;Priporočena oprema (zima):;Ogledov: 8.742;8742;29;1
450;4393;Grgar;286;45.99900;13.67410;Sveta Gora;681;čez Frančiškov hrib;85;;1;1;;395;400;Goriška - izletniška karta 1:50.000;Priporočena oprema (zima):;Ogledov: 7.496;7496;40;5
450;4395;Grgar;286;45.99900;13.67410;Sveta Gora;681;po Ranjekah;90;;1;1;;395;400;Goriška - izletniška karta 1:50.000;Priporočena oprema (zima):;Ogledov: 5.433;5433;51;0
450;4834;Zagora;100;46.02860;13.59790;Sveta Gora;681;;125;;1;1;;581;630;Goriška 1:50.000;Priporočena oprema (zima):;Ogledov: 3.946;3946;40;0
450;5841;Grgar;286;45.99900;13.67410;Sveta Gora;681;čez Križce;90;;1;1;;395;410;Goriška - izletniška karta 1:50.000;Priporočena oprema (zima):;Ogledov: 2.560;2560;49;4
450;5254;Plave;85;46.04010;13.59070;Sveta Gora;681;čez Kuk in Vodice;185;;1;0;;596;820;Goriška  - izletniška karta 1:50.000;Priporočena oprema (zima):;Ogledov: 2.329;2329;103;0
450;5267;Plave;85;46.04010;13.59070;Sveta Gora;681;čez Prižnico in Vodice;195;;1;0;;596;855;Goriška  - izletniška karta 1:50.000;Priporočena oprema (zima):;Ogledov: 2.104;2104;104;0
450;5258;Plave;85;46.04010;13.59070;Sveta Gora;681;čez Paljevo in Vodice;175;;1;0;;596;755;Goriška  - izletniška karta 1:50.000;Priporočena oprema (zima):;Ogledov: 2.074;2074;85;0
450;5840;Grgar;286;45.99900;13.67410;Sveta Gora;681;po cesti;75;;1;0;;395;400;Goriška - izletniška karta 1:50.000;Priporočena oprema (zima):;Ogledov: 1.750;1750;33;0
450;9778;Solkan;98;45.97264;13.64909;Sveta Gora;681;mimo Kramarce;100;;1;0;;583;620;Goriška 1:50.000;Priporočena oprema (zima):;Avtor: bernard11;1590;18;1
451;999;Vikrče;320;46.12850;14.44460;Grmada;676;Pogačnikova pot;60;;3;1;;356;356;Ljubljana - okolica 1:50.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje;53382;27;36
451;1000;Vikrče;320;46.12850;14.44460;Grmada;676;Westrova pot;60;;2;1;;356;356;Ljubljana - okolica 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;19991;16;8
451;703;Šmartno;317;46.12450;14.47980;Grmada;676;;55;;1;1;;359;359;Ljubljana - okolica 1:50.000;Priporočena oprema (zima):;Ogledov: 16.181;16181;40;1
451;3871;Tacen;303;46.11830;14.46150;Grmada;676;Mazijeva steza;70;;1;1;;373;385;Ljubljana - okolica 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;14558;30;6
451;2415;Tacen;303;46.11830;14.46150;Grmada;676;čez Spodnjo Kuhinjo;60;;1;1;;373;373;Ljubljana - okolica 1:50.000;Priporočena oprema (zima): dereze;dereze;13759;32;1
451;3869;Vikrče;320;46.12850;14.44460;Grmada;676;Mazijeva steza;65;;1;1;;356;356;Ljubljana - okolica 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;7059;27;4
451;4268;Lipa;335;46.13580;14.44480;Grmada;676;pot čez Peske;60;;1;1;;341;341;Ljubljana - okolica 1:50.000;Priporočena oprema (zima): dereze;dereze;6038;31;0
451;3842;Skaručna;332;46.15130;14.48040;Grmada;676;;110;;1;1;;344;380;Ljubljana - okolica 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;5651;48;0
451;3836;Vikrče;320;46.12850;14.44460;Grmada;676;čez Zatrep;75;;1;1;;356;356;Ljubljana - okolica 1:50.000;Priporočena oprema (zima): dereze;dereze;4778;37;0
451;3723;Povodje;316;46.13820;14.47910;Grmada;676;;110;;1;1;;360;400;Ljubljana - okolica 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;4732;45;0
451;3964;Tacen (Sveti Jurij);305;46.12020;14.46660;Grmada;676;;65;;1;1;;371;371;Ljubljana - okolica 1:50.000;Priporočena oprema (zima): dereze;dereze;4337;31;0
451;4404;Spodnje Pirniče;333;46.13210;14.44430;Grmada;676;učna pot;75;;1;1;;343;350;Ljubljana - okolica 1:50.000;Priporočena oprema (zima): dereze;dereze;4068;38;0
451;3965;Vikrče;320;46.12850;14.44460;Grmada;676;Kovačeva steza;70;;1;1;;356;356;Ljubljana - okolica 1:50.000;Priporočena oprema (zima): dereze;dereze;3698;26;0
451;4401;Vikrče;320;46.12850;14.44460;Grmada;676;učna pot;80;;1;1;;356;375;Ljubljana - okolica 1:50.000;Priporočena oprema (zima): dereze;dereze;3579;42;0
451;4271;Lipa;335;46.13580;14.44480;Grmada;676;po cesti;70;;1;1;;341;350;Ljubljana - okolica 1:50.000;Priporočena oprema (zima): dereze;dereze;3472;32;0
451;4405;Spodnje Pirniče;333;46.13210;14.44430;Grmada;676;po Kovačevi stezi in čez Sedlo;75;;1;1;;343;350;Ljubljana - okolica 1:50.000;Priporočena oprema (zima): dereze;dereze;3203;36;0
451;4406;Spodnje Pirniče;333;46.13210;14.44430;Grmada;676;Kovačeva steza;70;;1;0;;343;343;Ljubljana - okolica 1:50.000;Priporočena oprema (zima): dereze;dereze;2935;29;0
451;4399;Vikrče;320;46.12850;14.44460;Grmada;676;po Kovačevi stezi in čez Sedlo;75;;1;1;;356;365;Ljubljana - okolica 1:50.000;Priporočena oprema (zima): dereze;dereze;2920;34;0
452;704;Koča pri Savici;653;46.28960;13.80220;Veliko Špičje;2398;;340;9.84;2;1;;1745;1785;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;39673;56;5
452;706;Koča  pri Savici;653;46.28960;13.80220;Veliko Špičje;2398;mimo Zasavske koče;435;14.26;2;1;;1745;1915;Triglav 1:25.000;čelada;čelada, cepin, dereze;20805;86;10
452;707;Planina Blato;1147;46.31120;13.85010;Veliko Špičje;2398;čez Štapce;345;11.48;2;1;;1251;1525;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;19600;75;0
452;708;Planina Blato;1147;46.31120;13.85010;Veliko Špičje;2398;po dolini Za Kopico;440;14.01;2;1;;1251;1650;Triglav 1:25.000;čelada;čelada, cepin, dereze;9475;95;0
452;5571;Vas na Skali;980;46.34040;13.70970;Veliko Špičje;2398;na greben Špičja po Tumovi smeri;300;;;0;;1418;1420;Julijske alpe, Trenta, Triglav;čelada;čelada, cepin, dereze;8622;18;8
452;5982;Trenta;620;46.37720;13.74950;Veliko Špičje;2398;;390;13.25;2;1;;1778;1905;TNP 1:50.000;čelada;čelada, cepin, dereze;7660;56;0
452;5951;Zadnjica;642;46.38240;13.76040;Veliko Špičje;2398;;380;12.02;2;1;;1756;1875;TNP 1:50.000;čelada;čelada, cepin, dereze;7000;70;0
453;705;Koča pri  Savici;653;46.28960;13.80220;Malo Špičje;2312;mimo Zasavske koče;360;12.33;2;0;;1659;1770;Triglav 1:25.000;čelada;čelada, cepin, dereze;9844;78;0
453;709;Planina Blato;1147;46.31120;13.85010;Malo Špičje;2312;po dolini Za Kopico;365;12.08;1;0;;1165;1475;Triglav 1:25.000;čelada;čelada, cepin, dereze;7368;87;0
453;5981;Trenta;620;46.37720;13.74950;Malo Špičje;2312;;315;11.32;1;0;;1692;1740;TNP 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;5300;83;1
453;5952;Zadnjica;642;46.38240;13.76040;Malo Špičje;2312;;305;10.09;1;0;;1670;1715;TNP 1:50.000;čelada;čelada, cepin, dereze;4340;62;1
454;718;Planina Blato;1147;46.31120;13.85010;Velika Tičarica;2091;čez Štapce;230;;;0;;944;1040;Triglav 1:25.000;čelada;čelada, cepin, dereze;26906;68;17
454;717;Koča pri Savici;653;46.28960;13.80220;Velika Tičarica;2091;čez Štapce;275;;;0;;1438;1470;Triglav 1:25.000;čelada;čelada, cepin, dereze;12777;71;4
454;6236;Konec ceste na Vogar;1350;46.29560;13.84120;Velika Tičarica;2091;čez Štapce;235;;;0;;741;930;TNP 1:50.000;čelada;čelada, cepin, dereze;2190;87;0
455;720;Planina Blato;1147;46.31120;13.85010;Kopica;2190;čez Štapce;270;;1;1;;1043;1150;Triglav 1:25.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;17518;73;6
455;719;Koča pri Savici;653;46.28960;13.80220;Kopica;2190;čez Štapce;315;;2;1;;1537;1635;Triglav 1:25.000;čelada;čelada, cepin, dereze;7408;76;0
455;5076;Konec ceste na Vogar;1350;46.29560;13.84120;Kopica;2190;čez Štapce;275;;1;1;;840;1050;TNP 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;3401;92;4
456;722;Planina Blato;1147;46.31120;13.85010;Mala Zelnarica;2310;po dolini Za Kopico;255;;2;1;;1163;1250;Triglav 1:25.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;23314;63;7
456;723;Planina Blato;1147;46.31120;13.85010;Mala Zelnarica;2310;čez Štapce;310;;2;1;;1163;1350;Triglav 1:25.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;12864;79;5
456;724;Koča pri Savici;653;46.28960;13.80220;Mala Zelnarica;2310;čez Štapce;355;;2;1;;1657;1775;Triglav 1:25.000;čelada;čelada, cepin, dereze;7230;82;0
456;725;Koča pri Savici;653;46.28960;13.80220;Mala Zelnarica;2310;čez Vrata;400;;2;1;;1657;1715;Triglav 1:25.000;čelada;čelada, cepin, dereze;5927;97;0
456;10731;Konec ceste na Vogar;1350;46.29560;13.84120;Mala Zelnarica;2310;čez Štapce;315;;2;1;;960;1150;TNP 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;228;97;0
457;729;Planina Blato;1147;46.31120;13.85010;Rušnata glava;1899;;175;7.07;;0;;752;800;Triglav 1:25.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;5844;40;2
457;730;Koča pri Savici;653;46.28960;13.80220;Rušnata glava;1899;čez Štapce;225;6.74;2;1;;1246;1280;Triglav 1:25.000;čelada;čelada, cepin, dereze;4081;20;0
458;739;Snežna jama;1500;46.39670;14.74360;Planina Arta;1564;;15;0.58;1;1;;64;64;Kamniške in Savinjske Alpe 1:50.000;Priporočena oprema (zima):;Ogledov: 8.277;8277;10;0
459;1899;Dom Trilobit;939;46.45790;14.10310;Hrašenska planina;1670;Za Kraševcem;120;;1;0;;731;731;Karavanke - osrednji del 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;6490;27;7
459;742;Olipova planina;1320;46.44140;14.12350;Hrašenska planina;1670;;60;;1;0;;350;350;Karavanke - osrednji del 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;4721;18;0
460;1895;Dom Trilobit;939;46.45790;14.10310;Planina Stamare;1400;Za Kraševcem;75;;1;0;;461;461;Karavanke - osrednji del 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;9736;21;4
460;2485;Koroška Bela (RC Kres);630;46.43070;14.09820;Planina Stamare;1400;Gajškova pot;150;;1;0;;770;770;Karavanke - osrednji del  1 : 50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;5213;44;0
460;743;Olipova planina;1320;46.44140;14.12350;Planina Stamare;1400;;15;;1;0;;80;80;Karavanke - osrednji del 1:50.000;Priporočena oprema (zima):;Ogledov: 5.078;5078;7;0
460;3161;Koroška Bela (RC Kres);630;46.43070;14.09820;Planina Stamare;1400;čez greben Alničja;150;;2;0;;770;770;Karavanke - osrednji del  1 : 50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;4034;46;0
460;5176;Pri Žagi (Javorniški Rovt);885;46.45390;14.09750;Planina Stamare;1400;za Bonclo;105;;2;0;;515;515;Karavanke - osrednji del 1:50.000;Priporočena oprema (zima): dereze, svetilka;dereze, svetilka;2868;39;7
461;745;Konec ceste na Pokljuki;1312;46.33860;13.90450;Ablanca;2004;;140;4.19;2;0;;692;695;Triglav 1:25.000;čelada;čelada, cepin, dereze;40481;39;4
461;3267;Rudno polje;1347;46.34580;13.92360;Ablanca;2004;čez Srenjski preval;210;6.70;2;0;;657;700;Triglav 1:25.000;čelada;čelada, cepin, dereze;16841;79;3
461;5604;Rudno polje;1340;46.34580;13.92360;Ablanca;2004;čez Jezerce in Studorski preval;150;4.97;2;0;;664;700;TNP 1:50.000;čelada;čelada, cepin, dereze;13000;48;2
461;2322;Uskovnica (Razpotje);1215;46.32670;13.91070;Ablanca;2004;čez planino Spodnji Tosc;215;8.12;2;0;;789;1025;Triglav 1:25.000;čelada;čelada, cepin, dereze;7559;56;1
461;5605;Uskovnica (Razpotje);1215;46.32670;13.91070;Ablanca;2004;čez Jezerce in Studorski preval;160;6.46;2;0;;789;850;TNP 1:50.000;čelada;čelada, cepin, dereze;1920;53;0
461;5606;Uskovnica (Lom);1076;46.31330;13.90540;Ablanca;2004;čez Jezerce in Studorski preval;180;7.35;2;0;;928;955;TNP 1:50.000;čelada;čelada, cepin, dereze;1510;73;0
461;5607;Uskovnica (Lom);1076;46.31330;13.90540;Ablanca;2004;čez planino Spodnji Tosc;220;9.01;2;0;;928;1130;TNP 1:50.000;čelada;čelada, cepin, dereze;1140;77;0
