id;ime_gore;drzava;gorovje;visina;sirina_dolzina;vrsta;ogledi;priljubljenost;stevilo_slik;stevilo_poti;stevilo_gps_sledi;vpisna_knjiga;povezava
3424;Soboško jezero;Slovenija;Prekmurje;188;46,63868°N 16,16889°E;koča, jezero;4070;40% (2310. mesto);13;1;0;;https://www.hribi.net/gora/sobosko_jezero/163/3424
3425;Kamin Široka polica;Slovenija;Julijske Alpe;780;46,27738°N 13,91286°E;Vremenska napoved:;4380;40% (2286. mesto);5;1;0;;https://www.hribi.net/gora/kamin_siroka_polica/1/3425
3426;Stavrota (Lefkada);Grčija;Grški otoki;1182;38,69903°N 20,6248°E;vrh;1220;29% (2738. mesto);11;1;0;;https://www.hribi.net/gora/stavrota_lefkada/150/3426
3427;Gramoznica Vučja jama;Slovenija;Prekmurje;179;46,63134°N 16,22075°E;jezero;584;22% (2995. mesto);4;3;0;;https://www.hribi.net/gora/gramoznica_vucja_jama/163/3427
3428;Gradiše (nad Štorami);Slovenija;Posavsko hribovje in Dolenjska;540;46,20164°N 15,31552°E;vrh;656;23% (2942. mesto);4;1;0;;https://www.hribi.net/gora/gradise_nad_storami/25/3428
3429;Slap Nidri (Lefkada);Grčija;Grški otoki;157;38,72528°N 20,68539°E;slap;1090;27% (2778. mesto);5;1;0;;https://www.hribi.net/gora/slap_nidri_lefkada/150/3429
3430;Lazarjev vrh;Slovenija;Posavsko hribovje in Dolenjska;452;46,07144°N 14,64678°E;vrh;729;24% (2914. mesto);4;1;1;;https://www.hribi.net/gora/lazarjev_vrh/25/3430
3431;Lisjakova struga;Slovenija;Strojna, Košenjak, Kozjak in Slovenske gorice;206;46,66915°N 16,00264°E;koča;457;19% (3094. mesto);10;1;0;;https://www.hribi.net/gora/lisjakova_struga/162/3431
3432;Celovška špica;Avstrija, Slovenija;Karavanke;2102;46,43812°N 14,18035°E;vrh;16380;47% (2032. mesto);6;2;0;;https://www.hribi.net/gora/celovska_spica/11/3432
3433;Bernardo Mountain;ZDA;Diegan Western Granitic Foothills;349;33,06417°N -117,08807°E;vrh;571;22% (3006. mesto);0;0;0;;https://www.hribi.net/gora/bernardo_mountain/168/3433
3434;Ribnik Taškal;Slovenija;Prekmurje;183;46,59677°N 16,18117°E;jezero;341;16% (3212. mesto);2;1;0;;https://www.hribi.net/gora/ribnik_taskal/163/3434
3435;Gramoznica Dokležovje;Slovenija;Prekmurje;182;46,59095°N 16,18144°E;jezero;545;21% (3024. mesto);5;1;0;;https://www.hribi.net/gora/gramoznica_doklezovje/163/3435
3436;Lovska koča LD Negova (Zeleni gaj);Slovenija;Strojna, Košenjak, Kozjak in Slovenske gorice;256;46,60307°N 15,94886°E;koča;301;15% (3253. mesto);1;1;0;;https://www.hribi.net/gora/lovska_koca_ld_negova_zeleni_gaj/162/3436
3437;Ribnik Gosijak;Slovenija;Strojna, Košenjak, Kozjak in Slovenske gorice;225;46,61024°N 15,94079°E;jezero;339;16% (3214. mesto);3;1;0;;https://www.hribi.net/gora/ribnik_gosijak/162/3437
3438;Wegkapelle Kölbereck;Avstrija;Hribovje vzhodno od Mure;355;46,86554°N 16,09344°E;cerkev;206;12% (3370. mesto);1;1;0;;https://www.hribi.net/gora/wegkapelle_kolbereck/138/3438
3439;Sveti Trije Kralji v Slovenskih goricah;Slovenija;Strojna, Košenjak, Kozjak in Slovenske gorice;296;46,60284°N 15,8961°E;vrh, cerkev;516;21% (3042. mesto);5;2;0;;https://www.hribi.net/gora/sveti_trije_kralji_v_slovenskih_goricah/162/3439
3440;Cerkvenjak;Slovenija;Strojna, Košenjak, Kozjak in Slovenske gorice;341;46,56567°N 15,94299°E;vrh, koča, cerkev;572;22% (3004. mesto);7;2;1;;https://www.hribi.net/gora/cerkvenjak/162/3440
3441;Veliki Vilinac;Bosna in Hercegovina;Hercegovina;2112;43,62719°N 17,6196°E;vrh;1820;32% (2618. mesto);3;2;0;;https://www.hribi.net/gora/veliki_vilinac/65/3441
3442;Kredarica;Slovenija;Julijske Alpe;2515;;Ogledov: 5;5;0% (3813. mesto);0;0;4;;https://www.hribi.net/gora/kredarica/1/3442
3443;Sveti Vid (nad Zgornjim Tuhinjem);Slovenija;Kamniško Savinjske Alpe;846;46,23085°N 14,77641°E;cerkev;2470;35% (2502. mesto);6;2;0;;https://www.hribi.net/gora/sveti_vid_nad_zgornjim_tuhinjem/3/3443
3444;Kalvarija (cerkev svete Barbare);Slovenija;Strojna, Košenjak, Kozjak in Slovenske gorice;375;46,56905°N 15,63974°E;vrh, cerkev;4280;40% (2295. mesto);14;1;0;1;https://www.hribi.net/gora/kalvarija_cerkev_svete_barbare/162/3444
3445;Evharistični križ v Trdkovi;Slovenija;Prekmurje;388;46,85784°N 16,12385°E;vrh;570;22% (3007. mesto);3;1;0;;https://www.hribi.net/gora/evharisticni_kriz_v_trdkovi/163/3445
3446;Planina Zapotok;Slovenija;Julijske Alpe;1385;46,38288°N 13,68511°E;planina;6270;43% (2185. mesto);8;1;0;;https://www.hribi.net/gora/planina_zapotok/1/3446
3447;Spominski park v Kamniški Bistrici;Slovenija;Kamniško Savinjske Alpe;680;46,32941°N 14,57756°E;Vremenska napoved:;2870;36% (2441. mesto);3;1;0;1;https://www.hribi.net/gora/spominski_park_v_kamniski_bistrici/3/3447
3448;Rimsko gomilno grobišče v Anželovem gozdu;Slovenija;Strojna, Košenjak, Kozjak in Slovenske gorice;260;46,57414°N 15,93522°E;Vremenska napoved:;389;18% (3157. mesto);3;1;0;;https://www.hribi.net/gora/rimsko_gomilno_grobisce_v_anzelovem_gozdu/162/3448
3449;Cerkev sv. Petra nad Črno pri Kamniku;Slovenija;Kamniško Savinjske Alpe;845;46,2694°N 14,63363°E;cerkev;6330;43% (2182. mesto);4;1;0;1;https://www.hribi.net/gora/cerkev_sv_petra_nad_crno_pri_kamniku/3/3449
3450;Otok ljubezni;Slovenija;Prekmurje;179;46,58016°N 16,20646°E;koča;1120;28% (2764. mesto);3;4;0;;https://www.hribi.net/gora/otok_ljubezni/163/3450
3451;Strmec (nad Dragomerom);Slovenija;Polhograjsko hribovje in Ljubljana;446;46,01603°N 14,36772°E;vrh;1030;27% (2795. mesto);4;2;0;;https://www.hribi.net/gora/strmec_nad_dragomerom/5/3451
3452;Zalka;Slovenija;Prekmurje;362;46,84995°N 16,11214°E;vrh;426;18% (3124. mesto);1;2;0;;https://www.hribi.net/gora/zalka/163/3452
3453;Bogin breg;Slovenija;Prekmurje;371;46,84689°N 16,11312°E;vrh;479;20% (3068. mesto);3;2;0;;https://www.hribi.net/gora/bogin_breg/163/3453
3454;Koča v naši grabi;Slovenija;Strojna, Košenjak, Kozjak in Slovenske gorice;283;46,55496°N 15,97359°E;koča;363;17% (3186. mesto);6;1;0;;https://www.hribi.net/gora/koca_v_nasi_grabi/162/3454
3455;Možičev vrh;Slovenija;Strojna, Košenjak, Kozjak in Slovenske gorice;926;46,60118°N 15,51533°E;vrh;1250;29% (2733. mesto);2;6;0;;https://www.hribi.net/gora/mozicev_vrh/162/3455
3456;Fuks graba;Slovenija;Prekmurje;305;46,74624°N 16,00742°E;Vremenska napoved:;641;23% (2949. mesto);2;1;0;;https://www.hribi.net/gora/fuks_graba/163/3456
3457;Klosterwappen (Schneeberg);Avstrija;Severne apneniške Alpe;2076;47,76706°N 15,80448°E;vrh;913;26% (2837. mesto);12;2;0;;https://www.hribi.net/gora/klosterwappen_schneeberg/59/3457
3458;Grad Podsreda;Slovenija;Posavsko hribovje in Dolenjska;475;46,02805°N 15,58994°E;Vremenska napoved:;2240;33% (2551. mesto);8;6;1;;https://www.hribi.net/gora/grad_podsreda/25/3458
3459;Stara sveta gora;Slovenija;Posavsko hribovje in Dolenjska;386;46,04326°N 15,59599°E;vrh, cerkev;1260;29% (2729. mesto);8;3;0;1;https://www.hribi.net/gora/stara_sveta_gora/25/3459
3460;Gruska jama;Slovenija;Posavsko hribovje in Dolenjska;320;46,09253°N 15,57027°E;slap;972;27% (2810. mesto);4;1;0;;https://www.hribi.net/gora/gruska_jama/25/3460
3461;Grad Kozje (Drachenburg);Slovenija;Posavsko hribovje in Dolenjska;360;46,07131°N 15,55392°E;vrh;955;27% (2814. mesto);4;2;0;;https://www.hribi.net/gora/grad_kozje_drachenburg/25/3461
3462;Sveti Križ (Kumen);Slovenija;Pohorje, Dravinjske gorice in Haloze;928;46,51664°N 15,42816°E;cerkev;484;20% (3063. mesto);2;1;0;;https://www.hribi.net/gora/sveti_kriz_kumen/4/3462
3463;Mirnock;Avstrija;Krške Alpe;2110;46,75909°N 13,71504°E;vrh;2090;33% (2573. mesto);6;1;1;2;https://www.hribi.net/gora/mirnock/29/3463
3464;Lamprehtov vrh;Slovenija;Pohorje, Dravinjske gorice in Haloze;1230;46,50998°N 15,40916°E;vrh;928;26% (2831. mesto);2;2;0;;https://www.hribi.net/gora/lamprehtov_vrh/4/3464
3465;Zagorelec;Slovenija;Julijske Alpe;2090;46,3791°N 13,67051°E;vrh;6730;43% (2169. mesto);14;2;0;;https://www.hribi.net/gora/zagorelec/1/3465
3466;Mali Petrovac (Petrova gora);Hrvaška;Gorjanci, Medvednica in Medžimurje;517;45,31227°N 15,80678°E;vrh;773;25% (2891. mesto);3;2;0;;https://www.hribi.net/gora/mali_petrovac_petrova_gora/61/3466
3467;Lasina;Slovenija;Pohorje, Dravinjske gorice in Haloze;1412;46,48128°N 15,34364°E;vrh;1250;29% (2734. mesto);1;3;0;1;https://www.hribi.net/gora/lasina/4/3467
3468;Pesek;Slovenija;Pohorje, Dravinjske gorice in Haloze;1423;46,46848°N 15,34165°E;vrh;3070;37% (2417. mesto);2;3;1;1;https://www.hribi.net/gora/pesek/4/3468
3469;Veliki Petrovac (Petrova gora);Hrvaška;Gorjanci, Medvednica in Medžimurje;512;45,31225°N 15,80679°E;vrh;567;21% (3009. mesto);2;1;0;;https://www.hribi.net/gora/veliki_petrovac_petrova_gora/61/3469
3471;Mali Velebit (Petrova gora);Hrvaška;Gorjanci, Medvednica in Medžimurje;420;45,30569°N 15,78135°E;vrh;384;18% (3160. mesto);1;1;0;;https://www.hribi.net/gora/mali_velebit_petrova_gora/61/3471
3473;Schmalzscharte;Avstrija;Visoke Ture;2444;47,11548°N 13,35246°E;sedlo;415;18% (3136. mesto);0;1;0;;https://www.hribi.net/gora/schmalzscharte/57/3473
3474;Plešivec;Slovenija;Julijske Alpe;1962;46,36113°N 13,51611°E;vrh;4370;40% (2287. mesto);1;1;3;;https://www.hribi.net/gora/plesivec/1/3474
3476;Velika Glava;Slovenija;Julijske Alpe;1883;46,36286°N 13,77096°E;vrh;1960;32% (2593. mesto);2;2;0;;https://www.hribi.net/gora/velika_glava/1/3476
3477;Planjava - zahodni vrh;Slovenija;Kamniško Savinjske Alpe;2394;46,35655°N 14,60981°E;vrh;7430;44% (2144. mesto);0;0;0;;https://www.hribi.net/gora/planjava_-_zahodni_vrh/3/3477
3478;Vratni vrh;Slovenija;Julijske Alpe;1983;46,36069°N 13,51135°E;vrh;2570;35% (2481. mesto);6;1;0;;https://www.hribi.net/gora/vratni_vrh/1/3478
3479;Jelenk;Slovenija;Julijske Alpe;2049;46,36421°N 13,51103°E;vrh;1340;29% (2711. mesto);3;0;2;1;https://www.hribi.net/gora/jelenk/1/3479
3480;Turn (pri Klopnem vrhu);Slovenija;Pohorje, Dravinjske gorice in Haloze;1261;46,50814°N 15,39682°E;vrh;636;23% (2957. mesto);2;2;0;;https://www.hribi.net/gora/turn_pri_klopnem_vrhu/4/3480
3481;Jezerce Drtičnikovo;Slovenija;Pohorje, Dravinjske gorice in Haloze;960;46,51738°N 15,3918°E;jezero;796;25% (2878. mesto);3;2;0;;https://www.hribi.net/gora/jezerce_drticnikovo/4/3481
3482;Sveti Vid (pri Bukovniškem jezeru);Slovenija;Prekmurje;205;46,67095°N 16,33328°E;cerkev;430;19% (3119. mesto);4;2;0;;https://www.hribi.net/gora/sveti_vid_pri_bukovniskem_jezeru/163/3482
3483;Plečnikova cerkev (Bogojina);Slovenija;Prekmurje;198;46,67875°N 16,27763°E;cerkev;446;19% (3101. mesto);4;2;0;;https://www.hribi.net/gora/plecnikova_cerkev_bogojina/163/3483
3484;Kadunec;Slovenija;Kamniško Savinjske Alpe;426;46,28666°N 15,11924°E;vrh;422;18% (3131. mesto);4;0;2;;https://www.hribi.net/gora/kadunec/3/3484
3485;Trentski Pelc;Slovenija;Julijske Alpe;2116;46,38609°N 13,70958°E;vrh;8620;45% (2115. mesto);1;1;0;;https://www.hribi.net/gora/trentski_pelc/1/3485
3486;Markova glava (razgledna stena);Slovenija;Posavsko hribovje in Dolenjska;722;45,66347°N 15,11946°E;vrh;11780;46% (2070. mesto);1;1;0;;https://www.hribi.net/gora/markova_glava_razgledna_stena/25/3486
3487;Vzletišče Peter (Straška gora);Slovenija;Posavsko hribovje in Dolenjska;464;45,7774°N 15,0492°E;Vremenska napoved:;1860;32% (2609. mesto);2;1;0;;https://www.hribi.net/gora/vzletisce_peter_straska_gora/25/3487
3488;Ljuben (Sv. Vid);Slovenija;Posavsko hribovje in Dolenjska;528;45,74346°N 15,11151°E;Vremenska napoved:;619;22% (2974. mesto);0;0;0;;https://www.hribi.net/gora/ljuben_sv_vid/25/3488
