gora_id;povezava_poti
16;https://www.hribi.net/izlet/suhadolnik_grintovec_cez_kokrsko_in_mlinarsko_sedlo/3/16/651
16;https://www.hribi.net/izlet/v__koncu_grintovec_cez_gamsov_skret/3/16/753
16;https://www.hribi.net/izlet/ravenska_kocna_grintovec_po_ferati_in_frischaufovi_poti/3/16/5475
16;https://www.hribi.net/izlet/v_koncu_grintovec_cez_dolge_stene/3/16/5098
16;https://www.hribi.net/izlet/ravenska_kocna_grintovec_po_ferati_in_kremzarjevi_poti/3/16/5476
16;https://www.hribi.net/izlet/ravenska_kocna_grintovec_umik_zrela_in_po_frischaufovi_poti/3/16/5473
16;https://www.hribi.net/izlet/ravenska_kocna_grintovec_cez_stularjevo_planino_in_po_kremzarjevi_poti/3/16/5478
16;https://www.hribi.net/izlet/ravenska_kocna_grintovec_cez_stularjevo_planino_in_po_frischaufovi_poti/3/16/5477
16;https://www.hribi.net/izlet/ravenska_kocna_grintovec_umik_zrela_in_po_kremzarjevi_poti/3/16/5474
17;https://www.hribi.net/izlet/zadnjica_glava_v_zaplanji_cez_dolic/1/17/273
17;https://www.hribi.net/izlet/aljazev_dom_v_vratih_glava_v_zaplanji_cez_plemenice/1/17/188
17;https://www.hribi.net/izlet/zadnjica_glava_v_zaplanji_cez_plemenice/1/17/187
17;https://www.hribi.net/izlet/planina_blato_glava_v_zaplanji_po_dolini_za_kopico/1/17/735
18;https://www.hribi.net/izlet/vrsic_prisank___prisojnik_kopiscarjeva_pot/1/18/191
18;https://www.hribi.net/izlet/vrsic_prisank___prisojnik_slovenska_pot/1/18/190
18;https://www.hribi.net/izlet/vrsic_prisank___prisojnik_grebenska_pot/1/18/189
18;https://www.hribi.net/izlet/koca_na_gozdu_prisank___prisojnik_hanzova_pot/1/18/2283
18;https://www.hribi.net/izlet/vrsic_prisank___prisojnik_jubilejna_pot/1/18/1838
18;https://www.hribi.net/izlet/erjavceva_koca_na_vrsicu_prisank___prisojnik_slovenska_pot/1/18/6112
18;https://www.hribi.net/izlet/erjavceva_koca_na_vrsicu_prisank___prisojnik_kopiscarjeva_pot/1/18/6110
18;https://www.hribi.net/izlet/erjavceva_koca_na_vrsicu_prisank___prisojnik_grebenska_pot/1/18/6111
18;https://www.hribi.net/izlet/vrsic_prisank___prisojnik_cez_kajzljevo_skrbino/1/18/6115
18;https://www.hribi.net/izlet/erjavceva_koca_na_vrsicu_prisank___prisojnik_jubilejna_pot/1/18/6114
18;https://www.hribi.net/izlet/erjavceva_koca_na_vrsicu_prisank___prisojnik_cez_kajzljevo_skrbino/1/18/6113
19;https://www.hribi.net/izlet/aljazev_dom_v_vratih_rogljica_zahodna_pot/1/19/192
22;https://www.hribi.net/izlet/poldov_rovt_vrata_dovski_kriz_mimo_bivaka/1/22/193
22;https://www.hribi.net/izlet/poldov_rovt_vrata_dovski_kriz_cez_brinje/1/22/1781
23;https://www.hribi.net/izlet/dolina_krma_triglavski_dom_na_kredarici/1/23/201
23;https://www.hribi.net/izlet/rudno_polje_triglavski_dom_na_kredarici/1/23/1097
23;https://www.hribi.net/izlet/aljazev_dom_v_vratih_triglavski_dom_na_kredarici_tominskova_pot/1/23/198
23;https://www.hribi.net/izlet/aljazev_dom_v_vratih_triglavski_dom_na_kredarici_cez_prag/1/23/199
23;https://www.hribi.net/izlet/konec_ceste_na_pokljuki_triglavski_dom_na_kredarici/1/23/202
23;https://www.hribi.net/izlet/dolina_kot_triglavski_dom_na_kredarici/1/23/200
23;https://www.hribi.net/izlet/zadnjica_triglavski_dom_na_kredarici/1/23/2667
23;https://www.hribi.net/izlet/stara_fuzina_triglavski_dom_na_kredarici/1/23/10708
23;https://www.hribi.net/izlet/uskovnica_lom_triglavski_dom_na_kredarici_cez_planino_spodnji_tosc/1/23/5961
23;https://www.hribi.net/izlet/uskovnica_razpotje_triglavski_dom_na_kredarici_cez_planino_spodnji_tosc/1/23/5969
23;https://www.hribi.net/izlet/turkov_rovt_vrata_triglavski_dom_na_kredarici_po_dolini_za_cmirom/1/23/10755
25;https://www.hribi.net/izlet/ravenska_kocna_jezerska_kocna_mimo_zicnice_in_po_kremzarjevi_poti/3/25/223
25;https://www.hribi.net/izlet/suhadolnik_jezerska_kocna_cez_grdi_graben_in_dolce/3/25/1774
25;https://www.hribi.net/izlet/ravenska_kocna_jezerska_kocna_mimo_zicnice_in_po_frischaufovi_poti/3/25/680
25;https://www.hribi.net/izlet/suhadolnik_jezerska_kocna_cez_kokrsko_sedlo_in_dolce/3/25/1783
25;https://www.hribi.net/izlet/suhadolnik_jezerska_kocna_cez_grdi_graben_in_kokrsko_kocno/3/25/2589
25;https://www.hribi.net/izlet/v_koncu_jezerska_kocna_cez_kokrsko_kocno/3/25/2587
25;https://www.hribi.net/izlet/ravenska_kocna_jezerska_kocna_po_ferati_in_kremzarjevi_poti/3/25/5484
25;https://www.hribi.net/izlet/v_koncu_jezerska_kocna_cez_dolce/3/25/2585
25;https://www.hribi.net/izlet/suhadolnik_jezerska_kocna_cez_kokrsko_sedlo_in_kokrsko_kocno/3/25/2590
25;https://www.hribi.net/izlet/ravenska_kocna_jezerska_kocna_cez_stularjevo_planino_in_po_kremzarjevi_poti/3/25/5485
25;https://www.hribi.net/izlet/ravenska_kocna_jezerska_kocna_po_ferati_in_frischaufovi_poti/3/25/5480
25;https://www.hribi.net/izlet/ravenska_kocna_jezerska_kocna_umik_zrela_in_po_kremzarjevi_poti/3/25/5483
25;https://www.hribi.net/izlet/ravenska_kocna_jezerska_kocna_cez_stularjevo_planino_in_po_frischaufovi_poti/3/25/5482
25;https://www.hribi.net/izlet/ravenska_kocna_jezerska_kocna_umik_zrela_in_po_frischaufovi_poti/3/25/5481
26;https://www.hribi.net/izlet/dolina_kot_rz/1/26/194
26;https://www.hribi.net/izlet/aljazev_dom_v_vratih_rz_tominskova_pot/1/26/690
26;https://www.hribi.net/izlet/aljazev_dom_v_vratih_rz_cez_prag/1/26/691
26;https://www.hribi.net/izlet/dolina_krma_rz/1/26/6285
27;https://www.hribi.net/izlet/dolina_kot_rjavina_plezalna_pot/1/27/195
27;https://www.hribi.net/izlet/dolina_kot_rjavina_grebenska_pot/1/27/196
27;https://www.hribi.net/izlet/dolina_krma_rjavina_cez_teme/1/27/1678
27;https://www.hribi.net/izlet/aljazev_dom_v_vratih_rjavina_tominskova_pot/1/27/693
27;https://www.hribi.net/izlet/aljazev_dom_v_vratih_rjavina_cez_prag/1/27/692
27;https://www.hribi.net/izlet/dolina_krma_rjavina_grebenska_pot/1/27/2534
27;https://www.hribi.net/izlet/dolina_kot_rjavina_grebensko_precenje_macesnovec-rjavina/1/27/3476
27;https://www.hribi.net/izlet/konec_ceste_na_pokljuki_rjavina/1/27/3314
27;https://www.hribi.net/izlet/rudno_polje_rjavina/1/27/5093
28;https://www.hribi.net/izlet/v_koncu_skuta_cez_kokrsko_sedlo/3/28/55
28;https://www.hribi.net/izlet/v_koncu_skuta_cez_zmavcarje/3/28/757
28;https://www.hribi.net/izlet/koca_pod_slapom_rinka_skuta_skozi_turski_zleb/3/28/2336
