gora_id;pot_id;izhodisce;sirina_dolzina;cilj;ime_poti;cas_hoje;dolzina_km;zahtevnost;ferata;visinska_razlika_m;visinska_razlika_po_poti_m;zemljevid;oprema_poletje;oprema_zima;ogledi;stevilo_slik;stevilo_komentarjev;povezava
2387;6755;Podvelka (306 m);46,58970°N 15,32870°E;Hlebov vrh (Rdeči Breg) (913 m);mimo Viltužnika;2 h;3,98 km;lahka označena pot;;607;615;Priporočena oprema (poletje):;Priporočena oprema (zima): cepin, dereze;cepin, dereze;1340;9;1;https://www.hribi.net/izlet/podvelka_hlebov_vrh_rdeci_breg_mimo_viltuznika/4/2387/6755
2387;8449;Janževski Vrh (Uran) (435 m);46,55570°N 15,32340°E;Hlebov vrh (Rdeči Breg) (913 m);;1 h 30 min;3,86 km;lahka označena pot;;478;500;Pohorje - izletniška karta 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;318;34;0;https://www.hribi.net/izlet/janzevski_vrh_uran_hlebov_vrh_rdeci_breg/4/2387/8449
2387;8533;HE Ožbalt (311 m);46,57524°N 15,40965°E;Hlebov vrh (Rdeči Breg) (913 m);;2 h 50 min;8,47 km;lahka označena pot;;602;665;Pohorje 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;296;72;0;https://www.hribi.net/izlet/he_ozbalt_hlebov_vrh_rdeci_breg/4/2387/8533
2387;8451;Janževski Vrh (Uran) (435 m);46,55570°N 15,32340°E;Hlebov vrh (Rdeči Breg) (913 m);mimo Brabarja;1 h 40 min;5,57 km;lahka označena pot;;478;478;Pohorje - izletniška karta 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;218;52;0;https://www.hribi.net/izlet/janzevski_vrh_uran_hlebov_vrh_rdeci_breg_mimo_brabarja/4/2387/8451
2387;8443;Lovrenc na Pohorju (436 m);46,54195°N 15,38604°E;Hlebov vrh (Rdeči Breg) (913 m);mimo Povha in Brabarja;2 h 30 min;7,78 km;lahka označena pot;;477;537;Pohorje 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;209;64;0;https://www.hribi.net/izlet/lovrenc_na_pohorju_hlebov_vrh_rdeci_breg_mimo_povha_in_brabarja/4/2387/8443
2387;8512;Lovrenc na Pohorju (436 m);46,54195°N 15,38604°E;Hlebov vrh (Rdeči Breg) (913 m);mimo Kapusa;2 h 40 min;7,55 km;lahka označena pot;;477;585;Pohorje 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;178;79;0;https://www.hribi.net/izlet/lovrenc_na_pohorju_hlebov_vrh_rdeci_breg_mimo_kapusa/4/2387/8512
2387;8508;Puščava (354 m);46,55013°N 15,42360°E;Hlebov vrh (Rdeči Breg) (913 m);;2 h 55 min;9,71 km;lahka označena pot;;559;650;Pohorje 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;174;77;0;https://www.hribi.net/izlet/puscava_hlebov_vrh_rdeci_breg/4/2387/8508
2388;4993;Landro (1406 m);46,64035°N 12,23197°E;Langalm Hütte (2283 m);;3 h;;lahka označena pot;;877;890;Tabacco 10 1:25.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;1748;54;0;https://www.hribi.net/izlet/landro_langalm_hutte/39/2388/4993
2389;4997;Preval (380 m);46,07840°N 14,43270°E;Koča Klobuk (433 m);;40 min;2,12 km;lahka neoznačena steza;;53;100;Ljubljana - okolica 1:50.000;Priporočena oprema (zima):;Ogledov: 6.668;6668;31;0;https://www.hribi.net/izlet/preval_koca_klobuk/5/2389/4997
2389;5730;Ljubljana (Bokalce) (310 m);46,05180°N 14,44670°E;Koča Klobuk (433 m);;28 min;1,73 km;lahka neoznačena steza;;123;130;Ljubljana - okolica 1:50.000;Priporočena oprema (zima):;Ogledov: 4.800;4800;17;0;https://www.hribi.net/izlet/ljubljana_bokalce_koca_klobuk/5/2389/5730
2389;5733;Stranska vas (Pri Jurčku) (360 m);46,05970°N 14,42950°E;Koča Klobuk (433 m);;22 min;0,80 km;lahka neoznačena steza;;73;82;Ljubljana - okolica 1:50.000;Priporočena oprema (zima):;Ogledov: 2.020;2020;21;0;https://www.hribi.net/izlet/stranska_vas_pri_jurcku_koca_klobuk/5/2389/5733
2390;4996;Preval (380 m);46,07840°N 14,43270°E;Stražni vrh (439 m);;30 min;1,36 km;lahka neoznačena steza;;59;90;Ljubljana - okolica 1:50.000;Priporočena oprema (zima):;Ogledov: 2.999;2999;23;0;https://www.hribi.net/izlet/preval_strazni_vrh/5/2390/4996
2391;5731;Ljubljana (Bokalce) (310 m);46,05180°N 14,44670°E;Klobuk pri Ljubljani (441 m);;30 min;1,89 km;lahka neoznačena steza;;131;140;Ljubljana - okolica 1:50.000;Priporočena oprema (zima):;Ogledov: 160.270;160270;22;1;https://www.hribi.net/izlet/ljubljana_bokalce_klobuk_pri_ljubljani/5/2391/5731
2391;5732;Stranska vas (Pri Jurčku) (360 m);46,05970°N 14,42950°E;Klobuk pri Ljubljani (441 m);;20 min;0,68 km;lahka neoznačena steza;;81;81;Ljubljana - okolica 1:50.000;Priporočena oprema (zima):;Ogledov: 7.200;7200;18;0;https://www.hribi.net/izlet/stranska_vas_pri_jurcku_klobuk_pri_ljubljani/5/2391/5732
2392;4994;Landro (1406 m);46,64035°N 12,23197°E;Rifugio Auronzo (2320 m);;3 h 50 min;;lahka označena pot;;914;940;Tabacco 10 1:25.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;5483;82;0;https://www.hribi.net/izlet/landro_rifugio_auronzo/39/2392/4994
2393;4995;Sant'Uberto (1421 m);46,60229°N 12,10720°E;Cascata di Fanes (1467 m);Via Ferrata Giovanni Barbara;1 h 10 min;2,93 km;zelo zahtevna označena pot;B;46;200;Tabacco 03 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;5502;77;4;https://www.hribi.net/izlet/santuberto_cascata_di_fanes_via_ferrata_giovanni_barbara/39/2393/4995
2394;5000;Žička kartuzija (410 m);46,31010°N 15,39330°E;Trije križi na Konjiški gori (727 m);;1 h 10 min;;lahka označena pot;;317;327;Priporočena oprema (poletje):;Priporočena oprema (zima):;Avtor: bruny;3676;19;0;https://www.hribi.net/izlet/zicka_kartuzija_trije_krizi_na_konjiski_gori/4/2394/5000
2395;5006;Lago di Fedaia (2098 m);46,45740°N 11,86490°E;Col di Bousc (2494 m);;1 h 15 min;;delno zahtevna neoznačena pot;;396;400;Tabacco 07 1:25.000;čelada;čelada, cepin, dereze;1641;35;0;https://www.hribi.net/izlet/lago_di_fedaia_col_di_bousc/39/2395/5006
2396;5010;Landro (1406 m);46,64035°N 12,23197°E;Monte Piano (2305 m);;2 h 50 min;;delno zahtevna označena pot;;899;910;Tabacco 10 1:25.000;čelada;čelada, cepin, dereze;3949;64;0;https://www.hribi.net/izlet/landro_monte_piano/39/2396/5010
2396;5011;Landro (1406 m);46,64035°N 12,23197°E;Monte Piano (2305 m);Via Ferrata Bilgeri;3 h;;zelo zahtevna označena pot;;899;910;Tabacco 10 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;2918;61;1;https://www.hribi.net/izlet/landro_monte_piano_via_ferrata_bilgeri/39/2396/5011
2399;5015;Lipica (Škibini)  (410 m);;Jama Vilenica (420 m);;1 h;;lahka označena pot;;10;55;Primorje in Kras 1:50.000;Priporočena oprema (zima):;Avtor: bruny;3671;10;4;https://www.hribi.net/izlet/lipica_skibini__jama_vilenica/26/2399/5015
2400;5956;Ljubljana (sv. Urh) (341 m);46,03550°N 14,58440°E;Orle (458 m);;1 h 10 min;;lahka označena pot;;117;150;Ljubljana - okolica 1:50.000;Priporočena oprema (zima):;Ogledov: 52.520;52520;22;0;https://www.hribi.net/izlet/ljubljana_sv_urh_orle/25/2400/5956
2400;5012;Ljubljana (Spodnji Rudnik) (345 m);46,01850°N 14,54920°E;Orle (458 m);;40 min;;lahka označena pot;;113;115;Ljubljana - okolica 1:50.000;Priporočena oprema (zima):;Ogledov: 32.991;32991;28;1;https://www.hribi.net/izlet/ljubljana_spodnji_rudnik_orle/25/2400/5012
